gene,normal_n,normal_mean,normal_sd,normal_sd_used
RP11-327F22.1,113,0.5402876106194691,0.6427941201633391,0.6427941201633391
DNAJC19P1,113,0.058555752212389386,0.26499608519279955,0.26499608519279955
CA5BP1,113,8.04959203539823,0.29621918650529017,0.29621918650529017
DNAJC19P3,113,0.0,0.0,1e-08
ALG1L6P,113,0.1879566371681416,0.42141897350247076,0.42141897350247076
DNAJC19P2,113,0.013861061946902654,0.0820120106988129,0.0820120106988129
DNAJC19P5,113,2.0903442477876113,0.8098325932537421,0.8098325932537421
CRIM1,113,13.679953097345123,0.5613643835193597,0.5613643835193597
RP11-104D21.2,113,0.0052929203539823005,0.056264515138022976,0.056264515138022976
RP11-95J11.1,113,0.1571814159292036,0.33979539130941744,0.33979539130941744
RP11-104D21.1,113,0.16391238938053096,0.3933576244818319,0.3933576244818319
KCNK7,113,3.5065106194690268,0.7755954479074716,0.7755954479074716
RP11-264E20.2,113,0.5376035398230088,0.6900842458830149,0.6900842458830149
DNAJC19P7,113,0.023484070796460175,0.1445127562130093,0.1445127562130093
CTB-107G13.1,113,3.6509230088495572,1.3050582807873297,1.3050582807873297
DNAJC19P6,113,0.0393929203539823,0.17106082445643955,0.17106082445643955
ZBED3-AS1,113,6.143907964601769,0.7888586796466499,0.7888586796466499
PARD3-AS1,113,1.8669442477876108,1.011696252670489,1.011696252670489
RN7SL293P,113,0.0,0.0,1e-08
PSMC1P9,113,1.9829690265486721,1.0839329092706507,1.0839329092706507
PSMC1P8,113,0.051101769911504426,0.20662437450527607,0.20662437450527607
CRY2,113,11.870393805309732,0.5305606999209128,0.5305606999209128
HIBADH,113,11.533430973451326,0.4906189973390113,0.4906189973390113
PSMC1P2,113,0.127870796460177,0.28656227996764133,0.28656227996764133
PSMC1P1,113,9.7026185840708,0.36480376636641254,0.36480376636641254
PSMC1P7,113,0.33730000000000004,0.5563114227724816,0.5563114227724816
PSMC1P6,113,0.012574336283185841,0.09459484354222888,0.09459484354222888
PSMC1P5,113,2.3861920353982304,1.7537499618746353,1.7537499618746353
PSMC1P4,113,0.07516548672566373,0.23239406064527227,0.23239406064527227
NCSTNP1,113,0.0,0.0,1e-08
RP4-715N11.2,113,0.4289238938053097,0.5939719020342052,0.5939719020342052
HSPA8P4,113,2.025682300884956,0.8278675149820265,0.8278675149820265
SYCE1,113,5.558415044247787,1.6422365759200186,1.6422365759200186
AL121988.1,113,0.0,0.0,1e-08
SUSD4,113,8.082927433628319,1.7276433293469764,1.7276433293469764
SYCE2,113,3.41180796460177,0.8283428398811855,0.8283428398811855
SUSD2,113,9.527550442477876,1.0213494566996624,1.0213494566996624
SUSD3,113,8.302782300884953,1.517923984852696,1.517923984852696
SUSD1,113,8.736171681415929,0.47450336865976933,0.47450336865976933
CTC-261N6.3,113,0.0,0.0,1e-08
CTC-261N6.2,113,0.0,0.0,1e-08
SLC26A10,113,5.441095575221238,1.0110147498208155,1.0110147498208155
SLC26A11,113,9.11570442477876,0.5266468841693137,0.5266468841693137
RP11-347C18.3,113,3.048871681415929,0.695161492474568,0.695161492474568
RP11-347C18.1,113,0.11980353982300883,0.3133351713903419,0.3133351713903419
FAM221A,113,7.572252212389384,0.6669565189963053,0.6669565189963053
FAM221B,113,3.0750619469026566,1.247311081624229,1.247311081624229
RP11-347C18.5,113,2.772838938053096,0.7283421200421087,0.7283421200421087
CSPG4P3Y,113,0.005206194690265487,0.05534260868700704,0.05534260868700704
RP11-259F16.3,113,0.14988672566371683,0.3484180446533673,0.3484180446533673
BRINP3,113,3.406707964601769,2.40079902399112,2.40079902399112
BRINP2,113,5.47696725663717,1.5712897333561504,1.5712897333561504
CWC15,113,10.62411238938053,0.24367940630963966,0.24367940630963966
OTUD6B,113,8.754491150442478,0.5394420375585053,0.5394420375585053
OTUD6A,113,0.07903893805309735,0.2823904406496275,0.2823904406496275
RP11-691H4.3,113,0.07331592920353983,0.26381719948478516,0.26381719948478516
RP11-691H4.4,113,0.014576991150442477,0.15495554144014612,0.15495554144014612
RNU4-45P,113,0.0,0.0,1e-08
AL353733.1,113,0.0,0.0,1e-08
INADL,113,11.378726548672564,0.9762605218947981,0.9762605218947981
RP11-42H13.1,113,0.029446017699115045,0.19083795483687493,0.19083795483687493
RP11-93I21.3,113,1.3234752212389373,0.8014001187131109,0.8014001187131109
RP11-93I21.2,113,0.04873097345132743,0.20935745964039504,0.20935745964039504
RP4-580O19.2,113,0.8409238938053095,0.7014786545060085,0.7014786545060085
MIR4726,113,0.0,0.0,1e-08
RP11-286H15.1,113,4.133813274336283,1.4172313906814697,1.4172313906814697
TRBV24OR9-2,113,0.006385840707964602,0.06788241786256041,0.06788241786256041
RP1-228H13.5,113,5.99624778761062,0.7744494146877768,0.7744494146877768
F8A1,113,9.95044336283186,1.1832753879498534,1.1832753879498534
F8A3,113,7.042633628318585,2.8622094758249084,2.8622094758249084
F8A2,113,0.0,0.0,1e-08
FMN1,113,9.501146017699115,1.1128218856193763,1.1128218856193763
LL0XNC01-221F2.2,113,0.4941176991150442,0.5986880767606558,0.5986880767606558
FMN2,113,5.140095575221241,1.0567196674640094,1.0567196674640094
MIR4725,113,0.0,0.0,1e-08
SPRR1A,113,0.518950442477876,1.1601920950955165,1.1601920950955165
SPRR1B,113,1.0991982300884955,1.9438644291986988,1.9438644291986988
RP11-435O5.7,113,2.334216814159292,0.9385837776465074,0.9385837776465074
MIR4723,113,0.0,0.0,1e-08
CRYZ,113,10.337718584070798,0.47282465614128044,0.47282465614128044
HAUS8,113,7.517823008849558,0.36139645375583657,0.36139645375583657
HAUS6,113,9.903807079646013,0.46425227646122647,0.46425227646122647
HAUS7,113,8.224956637168143,0.4039024101712712,0.4039024101712712
HAUS4,113,10.650679646017696,0.2965011467573861,0.2965011467573861
HAUS5,113,8.939729203539821,0.4774007029667111,0.4774007029667111
HAUS2,113,9.92718761061947,0.32988175238927425,0.32988175238927425
HAUS3,113,9.457102654867256,0.432881182242099,0.432881182242099
HAUS1,113,8.89115221238938,0.3578888976387747,0.3578888976387747
SLC5A12,113,1.8194053097345133,1.0040616585933702,1.0040616585933702
SLC5A10,113,2.916851327433628,0.8747761874081038,0.8747761874081038
SLC5A11,113,2.3071415929203543,1.8891654968778857,1.8891654968778857
RP11-202H2.1,113,0.12982035398230085,0.2991547745492087,0.2991547745492087
RP11-671J11.4,113,0.8459920353982303,0.6382894146161275,0.6382894146161275
RNU6-1009P,113,0.0,0.0,1e-08
MYD88,113,10.711978761061943,0.38071838168391964,0.38071838168391964
RP11-567C20.3,113,0.0,0.0,1e-08
RP11-567C20.2,113,0.012439823008849557,0.09334889005750627,0.09334889005750627
RN7SL630P,113,0.03050353982300885,0.21004108863726925,0.21004108863726925
WI2-89031B12.1,113,1.2501495575221235,0.7859523453297069,0.7859523453297069
RP11-114F3.5,113,0.6874637168141591,0.6657491874172857,0.6657491874172857
RP1-102E24.10,113,3.713315929203539,0.6906048577626888,0.6906048577626888
AC021523.1,113,0.0,0.0,1e-08
AP000237.1,113,0.0,0.0,1e-08
HIST1H2BD,113,7.389720353982298,1.2252012680255036,1.2252012680255036
HIST1H2BE,113,0.4605893805309734,0.5755752340613618,0.5755752340613618
HIST1H2BF,113,0.6453398230088494,0.9493862960900267,0.9493862960900267
HIST1H2BG,113,4.1093079646017685,1.822369529483406,1.822369529483406
HIST1H2BA,113,0.0,0.0,1e-08
