sample,tumor_expression,normal_mean,normal_sd_used,z_score,two_sided_gaussian_p,DEG_label,abs_z_ge_threshold,MPL_GISTIC,cis_SCNA_event,DEG_if_cis_SCNA_excluded
TCGA-BH-AB28-01,1.6071,3.06646460176991,0.673992692165813,-2.165252856199935,0.030368326543990652,0,0,0,0,0
TCGA-C8-A1HJ-01,2.2815,3.06646460176991,0.673992692165813,-1.16464853535355,0.24416128892281344,0,0,0,0,0
TCGA-C8-A1HK-01,1.7654,3.06646460176991,0.673992692165813,-1.9303838407936733,0.05355929563167818,0,0,-1,0,0
TCGA-C8-A8HQ-01,1.5326,3.06646460176991,0.673992692165813,-2.2757881793064825,0.02285869057659415,0,0,0,0,0
TCGA-D8-A1XW-01,3.0764,3.06646460176991,0.673992692165813,0.01474110675913019,0.9882387244639294,0,0,0,0,0
TCGA-D8-A27T-01,1.0835,3.06646460176991,0.673992692165813,-2.9421158787313217,0.0032597792095561376,1,1,-1,0,1
TCGA-D8-A73X-01,2.4901,3.06646460176991,0.673992692165813,-0.8551496306552168,0.39246831676989263,0,0,0,0,0
TCGA-E2-A14V-01,0.6635,3.06646460176991,0.673992692165813,-3.5652680358420596,0.0003634845229756733,1,1,-1,0,1
TCGA-E2-A1BD-01,2.1422,3.06646460176991,0.673992692165813,-1.3713273341286116,0.1702729384514345,0,0,0,0,0
TCGA-EW-A1IZ-01,1.257,3.06646460176991,0.673992692165813,-2.6846946900201,0.007259608822748182,0,0,0,0,0
TCGA-EW-A1PG-01,1.8533,3.06646460176991,0.673992692165813,-1.799966996484069,0.0718658496462593,0,0,0,0,0
TCGA-GM-A2DD-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,1,0,1
TCGA-GM-A2DF-01,2.0855,3.06646460176991,0.673992692165813,-1.4554528753385607,0.14554392732448376,0,0,1,0,0
TCGA-3C-AALK-01,1.2657,3.06646460176991,0.673992692165813,-2.671786538194235,0.007544862655264774,0,0,0,0,0
TCGA-5T-A9QA-01,1.7696,3.06646460176991,0.673992692165813,-1.924152319222566,0.05433549369816936,0,0,-1,0,0
TCGA-A1-A0SI-01,2.5972,3.06646460176991,0.673992692165813,-0.6962458305919786,0.48627489054527545,0,0,0,0,0
TCGA-A2-A0ES-01,2.5693,3.06646460176991,0.673992692165813,-0.7376409381714774,0.46073267131068185,0,0,0,0,0
