gene,scna_count,scna_frequency,mutation_count,mutation_frequency,combined_count,combined_frequency,selected_top500
RAB13,83,0.10654685494223363,4,0.005134788189987163,87,0.1116816431322208,False
PYHIN1,82,0.10526315789473684,7,0.008985879332477536,87,0.1116816431322208,False
CD5L,82,0.10526315789473684,6,0.007702182284980745,87,0.1116816431322208,False
CD1B,82,0.10526315789473684,5,0.006418485237483954,87,0.1116816431322208,False
LRRCC1,82,0.10526315789473684,5,0.006418485237483954,87,0.1116816431322208,False
OR10K1,82,0.10526315789473684,5,0.006418485237483954,87,0.1116816431322208,False
KCTD3,81,0.10397946084724005,7,0.008985879332477536,87,0.1116816431322208,False
RGS4,81,0.10397946084724005,7,0.008985879332477536,87,0.1116816431322208,False
IGFN1,79,0.10141206675224647,8,0.010269576379974325,87,0.1116816431322208,False
IQGAP3,78,0.10012836970474968,10,0.012836970474967908,87,0.1116816431322208,False
DUSP27,77,0.09884467265725289,10,0.012836970474967908,87,0.1116816431322208,False
UNC5D,76,0.0975609756097561,13,0.01668806161745828,87,0.1116816431322208,False
ASPM,69,0.08857509627727857,19,0.024390243902439025,87,0.1116816431322208,False
MUC16,14,0.01797175866495507,77,0.09884467265725289,87,0.1116816431322208,False
ARL8A,86,0.110397946084724,0,0.0,86,0.110397946084724,False
DUSP23,86,0.110397946084724,0,0.0,86,0.110397946084724,False
LCE1D,86,0.110397946084724,0,0.0,86,0.110397946084724,False
LCE1F,86,0.110397946084724,0,0.0,86,0.110397946084724,False
LCE6A,86,0.110397946084724,0,0.0,86,0.110397946084724,False
MIR21,86,0.110397946084724,0,0.0,86,0.110397946084724,False
MIR5698,86,0.110397946084724,0,0.0,86,0.110397946084724,False
PCAT6,86,0.110397946084724,0,0.0,86,0.110397946084724,False
REXO1L1,86,0.110397946084724,0,0.0,86,0.110397946084724,False
REXO1L10P|ENSG00000255940.1,86,0.110397946084724,0,0.0,86,0.110397946084724,False
REXO1L10P|ENSG00000270416.1,86,0.110397946084724,0,0.0,86,0.110397946084724,False
REXO1L11P,86,0.110397946084724,0,0.0,86,0.110397946084724,False
RIIAD1,86,0.110397946084724,0,0.0,86,0.110397946084724,False
RN7SL431P,86,0.110397946084724,0,0.0,86,0.110397946084724,False
S100A12,86,0.110397946084724,0,0.0,86,0.110397946084724,False
S100A9,86,0.110397946084724,0,0.0,86,0.110397946084724,False
AQP10,85,0.10911424903722722,1,0.0012836970474967907,86,0.110397946084724,False
CA13,85,0.10911424903722722,1,0.0012836970474967907,86,0.110397946084724,False
IVL,85,0.10911424903722722,1,0.0012836970474967907,86,0.110397946084724,False
LELP1,85,0.10911424903722722,1,0.0012836970474967907,86,0.110397946084724,False
THEM4,85,0.10911424903722722,1,0.0012836970474967907,86,0.110397946084724,False
UAP1,85,0.10911424903722722,1,0.0012836970474967907,86,0.110397946084724,False
CA3,84,0.10783055198973042,3,0.0038510911424903724,86,0.110397946084724,False
CA1,84,0.10783055198973042,2,0.0025673940949935813,86,0.110397946084724,False
GSDMB,83,0.10654685494223363,6,0.007702182284980745,86,0.110397946084724,False
OR10J3,83,0.10654685494223363,6,0.007702182284980745,86,0.110397946084724,False
C17orf64,83,0.10654685494223363,4,0.005134788189987163,86,0.110397946084724,False
GATAD2B,83,0.10654685494223363,3,0.0038510911424903724,86,0.110397946084724,False
HSD17B7,83,0.10654685494223363,3,0.0038510911424903724,86,0.110397946084724,False
MARC1,83,0.10654685494223363,3,0.0038510911424903724,86,0.110397946084724,False
NPR1,83,0.10654685494223363,3,0.0038510911424903724,86,0.110397946084724,False
RCOR3,83,0.10654685494223363,3,0.0038510911424903724,86,0.110397946084724,False
RXRG,83,0.10654685494223363,3,0.0038510911424903724,86,0.110397946084724,False
CADM3,81,0.10397946084724005,5,0.006418485237483954,86,0.110397946084724,False
YY1AP1,81,0.10397946084724005,5,0.006418485237483954,86,0.110397946084724,False
INTS7,80,0.10269576379974327,7,0.008985879332477536,86,0.110397946084724,False
OR6K3,80,0.10269576379974327,7,0.008985879332477536,86,0.110397946084724,False
PROX1,80,0.10269576379974327,7,0.008985879332477536,86,0.110397946084724,False
IFI16,80,0.10269576379974327,6,0.007702182284980745,86,0.110397946084724,False
BCAN,79,0.10141206675224647,8,0.010269576379974325,86,0.110397946084724,False
ARHGEF2,79,0.10141206675224647,7,0.008985879332477536,86,0.110397946084724,False
INSRR,79,0.10141206675224647,7,0.008985879332477536,86,0.110397946084724,False
TANC2,77,0.09884467265725289,10,0.012836970474967908,86,0.110397946084724,False
ADCY10,77,0.09884467265725289,9,0.011553273427471117,86,0.110397946084724,False
PTEN,41,0.05263157894736842,47,0.06033376123234917,86,0.110397946084724,False
ZPBP2,85,0.10911424903722722,3,0.0038510911424903724,85,0.10911424903722722,False
IDO1,85,0.10911424903722722,1,0.0012836970474967907,85,0.10911424903722722,False
C8orf59,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
E2F5,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
LOR,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
MIR555,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
PRR9,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
PTPRVP,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
RN7SL276P,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
S100A7,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
S100A7A,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
S100A7L2,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
SNORA70|ENSG00000253042.1,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
SNORD112|ENSG00000252359.1,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
SNORD59|ENSG00000252682.1,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
SPRR2G,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
U6|ENSG00000272262.1,85,0.10911424903722722,0,0.0,85,0.10911424903722722,False
