Gene_pair,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11,tree_12,tree_13,tree_14,tree_15,tree_16,tree_17,tree_18,tree_19,tree_20,beta_total
GPR137B_0___OR2T3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5
GATA3_0___ORAOV1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,5
OR2T2_0___EFR3A,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5
CSMD1_0___ZNF670,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5
GATA3_1___TP53,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,5
MYEOV_0___MYC,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5
MYEOV_0___NDUFB9,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,5
TRIM67_0___FER1L6,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,5
ERBB2_0___CSMD1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5
BAI1_0___GATA3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,5
MYEOV_0___PLEC,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
AHCTF1_1___PIK3CA,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5
BAI1_0___ERBB2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,5
ERBB2_0___CDH1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,5
AHCTF1_0___RAD54B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,5
OR2T2_0___PLEC,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5
BAI1_0___CSMD3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,5
HMCN1_0___ERBB2,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5
BAI1_0___CDH1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,5
TRIM67_0___CSMD3,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,5
ADCK5_0___CSMD3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,5
TRIM67_0___CDH1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,5
ADCK5_0___CSMD1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,5
TRIM67_0___ANO1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,5
KCNU1_0___PLEC,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5
MYC_0___CDH1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5
HMCN1_0___CSMD3,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,5
OR2T3_0___TCHH,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,5
HMCN1_0___PIK3CA,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5
PKHD1L1_0___USH2A,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,5
TTN_0___DENND3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5
ZFPM2_0___FAM135B,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5
CSMD1_0___PLEC,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
HMCN1_0___TRPS1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
MYEOV_0___SPTA1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5
MYEOV_0___SHANK2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,5
KCNU1_0___GATA3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,5
ADCK5_0___GATA3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,5
TTN_0___COL22A1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,5
GPR137B_0___EFR3A,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,5
GPR137B_0___CSMD3,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,5
BAI1_0___NOTCH2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,5
